country
"Algeria"
"Argentina"
"Australia"
"Austria"
"Bangladesh"
"Belgium"
"Benin"
"Bolivia"
"Botswana"
"Brazil"
"Burkina Faso"
"Burundi"
"Cameroon"
"Canada"
"Central African Republic"
"Chile"
"Colombia"
"Congo, Rep."
"Costa Rica"
"Cote d'Ivoire"
"Denmark"
"Dominican Republic"
"Ecuador"
"Egypt"
"El Salvador"
"Fiji"
"Finland"
"France"
"Ghana"
"Greece"
"Guatemala"
"Honduras"
"Iceland"
"India"
"Indonesia"
"Italy"
"Japan"
"Kenya"
"Lesotho"
"Liberia"
"Malawi"
"Malaysia"
"Mauritania"
"Mexico"
"Morocco"
"Nepal"
"Netherlands"
"Nicaragua"
"Norway"
"Oman"
"Pakistan"
"Panama"
"Papua New Guinea"
"Paraguay"
"Peru"
"Philippines"
"Portugal"
"Rwanda"
"Senegal"
"Seychelles"
"Sierra Leone"
"Singapore"
"South Korea"
"Spain"
"Sri Lanka"
"Sudan"
"Sweden"
"Thailand"
"Togo"
"Trinidad and Tobago"
"Turkey"
"United Kingdom"
"United States"
"Uruguay"
"Venezuela"
"Zambia"
"Zimbabwe"
